"Site","Altitude","Subfamily","Tribe","Genus","Taxonomy","1965","2007","SSD_1965","SSD_2007"
"PS","1885","Sterrhinae","Scopulini","Scopula","Scopula leucopis",NA,0.0234289794035457,NA,"FBSSD"
"RS","2685","Ennominae","Baptini","Synegia","Synegia punctinervis",0.133019866654705,NA,"FBSSD",NA
"RS","2685","Ennominae","Baptini","Tympanota","Tympanota erecta",0.112619814079834,NA,"FBSSD",NA
"RS","2685","Ennominae","Boarmiini","Apophyga","Apophyga altapona",0.0231207302963975,NA,"FBSSD",NA
"RS","2685","Ennominae","Boarmiini","Bornealcis","Bornealcis versicolor",0.108697152463007,0.107149645374234,"FBSSD","FBSSD"
"RS","2685","Ennominae","Boarmiini","Cleora","Cleora mjobergi",0.066972560683786,NA,"FBSSD",NA
"RS","2685","Ennominae","Hypochrosini","Garaeus","Garaeus altapicata",NA,0.0402063138684652,NA,"FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Pasiphila","Pasiphila chlorocampsis",0.0121589925470888,0.152579916155824,"NSSSD","FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Pasiphila","Pasiphila palpata",0.00275037267196214,0.0504776921333047,"NSSSD","FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Poecilasthena","Poecilasthena character",0.0819138790213227,0.0695970344588643,"FBSSD","FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Syncosmia","Syncosmia discisuffusa",NA,0.0334436541403274,NA,"FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Syncosmia","Syncosmia eurymesa",-0.0166208812360403,0.0982369779594467,"NSSSD","FBSSD"
"RS","2685","Larentiinae","Eupitheciini","Syncosmia","Syncosmia layanga",0.0409758485643558,0.0439041432547964,"FBSSD","FBSSD"
"RS","2685","Larentiinae","Trichopterygini","Hypocometa","Hypocometa titanis",0.0932890295224964,NA,"FBSSD",NA
"RS","2685","Larentiinae","Trichopterygini","Tympanota","Tympanota arfakensis",NA,0.0375763309070226,NA,"FBSSD"
"RS","2685","Larentiinae","Trichopterygini","Tympanota","Tympanota erecta",0.112619814079834,0.0387200120473186,"FBSSD","FBSSD"
"RS","2685","Sterrhinae","Sterrhini","Idaea","Idaea themeropis",0.0119528194618873,NA,"NSSSD",NA
"SS","3675","Larentiinae","Eupitheciini","Pasiphila","Pasiphila sayata",0.092911133207928,NA,"FBSSD",NA
"SS","3675","Larentiinae","Eupitheciini","Poecilasthena","Poecilasthena nubivaga",0.0878009902329888,0.0469066656687085,"FBSSD","FBSSD"
