Lake,Sample,genus,size,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,calanoid,1,,
Lillooet,ZP31,calanoid,1.4,,
Lillooet,ZP31,cyclopoida,0.8,,
Lillooet,ZP31,calanoid,0.9,,
Lillooet,ZP31,calanoid,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,calanoid,1,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,calanoid,0.8,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.8,,
Lillooet,ZP31,calanoid,0.4,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,calanoid,1.2,,
Lillooet,ZP31,calanoid,1.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,calanoid,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.8,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,daphnia,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,daphnia,0.7,,
One Mile,ZP22,daphnia,0.4,,
One Mile,ZP22,daphnia,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,calanoid,0.8,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,daphnia,0.7,,
One Mile,ZP22,calanoid,1.7,,
One Mile,ZP22,daphnia,0.6,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,daphnia,0.5,,
One Mile,ZP22,daphnia,0.4,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,calanoid,0.7,,
One Mile,ZP22,cyclopoida,0.3,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,rotifer,0.3,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,rotifer,0.3,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,calanoid,2,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,daphnia,0.9,,
One Mile,ZP22,rotifer,0.1,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,daphnia,0.5,,
One Mile,ZP22,sididae,0.6,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,bosmina,0.2,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,rotifer,0.3,,
One Mile,ZP22,calanoid,2.2,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.3,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.3,,
One Mile,ZP22,cyclopoida,0.3,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,rotifer,0.2,,
One Mile,ZP22,daphnia,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,daphnia,0.9,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,bosmina,0.2,,
One Mile,ZP22,sididae,0.5,,
One Mile,ZP22,sididae,0.5,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,daphnia,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.8,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,calanoid,1.2,,
One Mile,ZP22,calanoid,1.4,,
